,pageids,terms,titles,terRms
10,"['192762', '70547', '30271975', '13705018', '105219', '29847460', '35746225', '13998668', '1661124', '1334379', '2448941', '3130699', '38885064', '793631', '53338', '8730977', '206979', '412809', '21499583', '2332327', '729500', '1223539', '34249574', '414179', '381784', '8263081', '907835', '24751361', '414192', '363559', '322177', '88078', '3262035', '13704917', '64993', '300221', '22191575', '24039894', '7428996', '14088001', '13705072', '44325909', '498812', '3751339', '10588046', '26764706', '10176', '907310', '21464432', '12284396', '2185288', '15477610', '18398577']",,"['Cancer', 'Prostate cancer', 'Breast cancer', 'Cancer research', 'Colorectal cancer', 'Ovarian cancer', 'Cervical cancer', 'Skin cancer', 'Breast cancer awareness', 'National Cancer Institute', 'Cancer cell', 'Kidney cancer', 'Bladder cancer', 'Vulvar cancer', 'Thyroid cancer', 'War on Cancer', 'Testicular cancer', 'Head and neck cancer', 'Pancreatic cancer', 'University of Pittsburgh Cancer Institute', 'Cancer syndrome', 'Endometrial cancer', 'Cancer survivor', 'Epidemiology of cancer', 'Risk factors for breast cancer', 'Gastrointestinal cancer', 'Laryngeal cancer', 'Clonally transmissible cancer', 'Nasopharynx cancer', 'Cancer vaccine', 'Cancer epigenetics', 'Hereditary nonpolyposis colorectal cancer', 'Cancer immunology', 'Oropharyngeal cancer', 'Cancer immunotherapy', 'Penile cancer', 'Breast cancer management', 'Prostate cancer staging', 'Cancer stem cell', 'History of cancer', 'Ludwig Cancer Research', 'Koch Institute for Integrative Cancer Research', 'Cancer prevention', 'Liver cancer', 'Diet and cancer', 'Lung cancer staging', 'Experimental cancer treatment', 'Inflammatory breast cancer', 'Distress in cancer caregiving', 'Canine cancer detection', 'Somatic evolution in cancer', 'Breast cancer screening', 'Cancer support group']",Cancer
11,"['49197', '4231503', '22697654', '717829', '225119', '869123', '440479', '1045705', '3833671', '889831', '501188', '174567', '21866643', '67436', '839463', '38686504', '10042176', '39794453']",,"['Influenza vaccine', 'Influenza A virus', 'Posset', 'Influenzavirus C', 'Rudbeckia hirta', 'Mucus', 'Vitamin D and respiratory tract infections', 'Pseudoephedrine', 'Tropical Asia', 'Economic botany', 'Labyrinthitis', 'Antiviral drug', 'Fuze Beverage', 'Postorgasmic illness syndrome', 'Berberis vulgaris', 'Gastroenteritis', 'Eggnog', 'Talimogene laherparepvec']",Cold and Flu
12,"['25370267', '554671', '1569995', '26585603', '2966520', '40017873', '10742994', '3049655', '2812725', '6552991', '43129588', '1763662', '56526', '515064', '56533', '9311', '697890', '46745950', '56345', '60635', '29508560', '1719250', '3649454', '34284475', '1012668', '253720', '3454399', '13226296', '1764060', '732108', '1860117', '2398993']",,"['Diabetes mellitus', 'Diabetes mellitus type 1', 'Gestational diabetes', 'Diabetes management', 'Diabetes mellitus and pregnancy', 'Complications of diabetes mellitus', 'Nephrogenic diabetes insipidus', 'Latent autoimmune diabetes of adults', 'Diabetes in dogs', 'Glossary of diabetes', 'Diabetes in cats', 'Diabetes mellitus and deafness', 'Prediabetes', 'Diabetic ketoacidosis', 'Diabetic diet', 'Diabetic neuropathy', 'Diabetic retinopathy', 'Diabetic foot ulcer', 'Lifestyle causes of diabetes mellitus type 2', 'Stress hyperglycemia', 'Density estimation', 'Metformin', 'Glucose tolerance test', 'Insulin glargine', 'Diabetic hypoglycemia', 'Sulfonylurea', 'Endocrinology', 'Tolbutamide', 'Gliflozin', 'Valsartan', 'Insulin degludec', 'Medtronic']",Diabetes
13,"['415674', '12217254', '55972', '30871736', '2143933', '32427394', '51078647']",,"['Ear clearing', 'Ear candling', 'Middle ear', 'Summit Medical Group', 'Tonsil carcinoma', 'Otitis externa', 'Rhinorrhea']",Ear Nose and Throat
14,"['877445', '64976', '311254', '4531', '149223', '11973479', '536032', '929357', '39653', '10920058', '56825', '22569186', '42528326', '33242198', '953810', '6830211', '10989802', '26157344', '1324898', '1721229', '1721208', '3709971', '436034', '19356', '52316', '1095712', '2628506', '228214', '42240054', '11684015', '3657336', '242901', '66811', '46966', '15236476', '23476797', '30861480', '8518910', '26477290', '33912798', '14206697', '369730', '880777', '251047', '1458550', '7847673', '8498', '33849637', '35633282', '186749', '26534505', '347816', '11188627', '41007183']",,"['Eating disorder', 'Binge eating disorder', 'Disordered eating', 'Feminist Perspectives on Eating Disorders', 'Other specified feeding or eating disorder', 'Eating Attitudes Test', 'Eating recovery', 'Emotional eating', 'Food addiction', 'Rumination syndrome', 'Intuitive eating', 'Borderline personality disorder', 'Orthorexia nervosa', 'Muscle dysmorphia', 'Figure rating scale', 'Female athlete triad', 'Impulse control disorder', 'Mood disorder', 'DSM-5', 'Substance use disorder', 'Neuropsychiatry', 'Somatic symptom disorder', 'Seasonal affective disorder', 'Kleptomania', 'Exercise addiction', 'Adjustment disorder', 'Mental disorder', 'Sleep disorder', 'Overeaters Anonymous', 'Dissociative identity disorder', 'Factitious disorder', 'Schizoaffective disorder', 'Social anxiety disorder', 'Attention deficit hyperactivity disorder', 'Bipolar disorder', 'Developmental disorder', 'Social anxiety', 'Intermittent explosive disorder', 'The Thin Ideal', 'Spectrum disorder', 'Depersonalization disorder', 'Delusional disorder', 'Panic disorder', 'Health issues in youth sports', 'Somatization disorder', 'Narcissistic personality disorder', 'Soroka Medical Center', 'Conversion disorder', 'Bipolar II disorder', 'Diagnostic and Statistical Manual of Mental Disorders', 'Thigh gap', 'Developmental coordination disorder', 'Body dysmorphic disorder', 'Ingestive behaviors']",Eating Disorders
15,"['729741', '2296', '335177', '1001430', '26724884', '854272', '5599303', '41413136', '1057785', '903152', '9312', '9311', '21723064', '249953', '42669424', '101604', '232039', '54176', '862281', '13492', '702308', '26652964', '1110898', '17025', '277098', '2574340', '11281625', '675182', '5615288', '1475625', '38300', '992796', '54301', '1239047', '30865543', '2403282', '48798515', '3062619', '12767994', '1997887', '22053022', '15996046', '46133', '1221743', '773534', '153663', '1221281', '704266', '591638', '10638474', '2005601', '1952244', '173072', '6380202', '500475', '58685', '65845', '3540363', '45299673', '214297', '27503448', '3875331', '67193', '349842', '14819754', '1846280']",,"['Endocrine system', 'Endocrine disruptor', 'Multiple endocrine neoplasia', 'Multiple endocrine neoplasia type 1', 'Endocrinology', 'Neuroendocrine tumor', 'Development of the endocrine system', 'Pituitary adenoma', 'Hirsutism', 'Thermoregulation in humans', 'Xenoestrogen', 'Nalgene', 'Pancreas', 'Acanthosis nigricans', 'Nonylphenol', 'Nail salon', 'Digestive enzyme', 'Anterior pituitary', 'Postural orthostatic tachycardia syndrome', 'Canine pancreatitis', 'Polycystic ovary syndrome', 'Human body', 'Intersex', 'Hyperthyroidism', 'Primary hyperparathyroidism', 'Glucagon', 'Dehydroepiandrosterone sulfate', 'Adrenal gland', 'Creatine kinase', 'Holoprosencephaly', 'Hypoparathyroidism', 'Environmental xenobiotic', 'Gynecomastia', 'Kallmann syndrome', 'Thyroid disease', 'Bisphenol A', 'Kidney', 'Hyperhidrosis', 'Triclocarban', 'Prenatal hormones and sexual orientation', 'Adiposopathy', 'Bisphenol S', 'Connexon', 'Zoledronic acid', 'Hypotension', 'Prolactin', 'Testicle', 'Clitoromegaly', 'Diapause', 'Triclosan', 'Raw water', 'Environmental toxicants and fetal development', 'Head and neck anatomy', 'Cardiomyopathy', 'Growth hormone', 'Latrotoxin', 'Social determinants of health', 'Cytokine', 'Dicofol', 'Hypothyroidism', 'Lawley Pharmaceuticals', 'Enterochromaffin cell', 'Disorders of sex development', 'VGF', 'Dihydrotestosterone', 'Hypothalamus']",Endocrine Conditions
16,"['22170852', '54253818', '292094', '467058', '4421272', '1014475', '2595045', '6352', '188524', '26879773', '5669338', '41413136', '9312', '9311', '37708', '2494084', '13492', '58685', '65845', '40228147', '14750', '1884846', '19405549', '431769', '701333', '8227216', '611177', '5186960', '1014366', '5411611', '14178795', '9833735', '13977381', '22191575', '3062619', '4466508', '51078145', '29510763', '17844308', '273535', '938563', '2016069', '14410190', '1610476', '2589713', '768133', '18722294', '138301', '2018023', '5211259', '97503', '1609070', '316759', '3345314', '1232890', '1341634', '14146099', '11931938', '52965', '928781', '14724003', '1166093', '37642', '49364', '477567']",,"['Thyroid disease', 'Thyroid cancer', 'Desiccated thyroid extract', 'Thyroid function tests', 'Hyperthyroidism', 'Acute infectious thyroiditis', 'Hypothyroidism', 'Thyrotoxic periodic paralysis', 'Potassium iodide', 'Endocrinology', 'Iodine-131', 'Thyroplasty', 'Unsealed source radiotherapy', 'Calcitonin', 'Intercurrent disease in pregnancy', 'Endocrine system', 'Cytopathology', 'Cowden syndrome', 'Perchlorate', 'Nail disease', 'Nuclear fission product', 'Chronic condition', 'Cretinism', 'Deaths due to the Chernobyl disaster', 'Pendrin', 'Iodine', 'Amphenone B', 'Development of the endocrine system', 'TLR9', 'Pituitary apoplexy', 'Hair care', 'SOX2', 'Tongue disease', 'Services Hospital', 'Anorgasmia', 'Madarosis', 'Cotransporter', 'Prurigo nodularis', 'Hypothalamus', 'Flare', 'Iodine-125', 'Dwarfism', 'Dermatitis herpetiformis', 'Demyelinating disease', 'Hyperprolactinaemia', 'Ethionamide', 'AV nodal reentrant tachycardia', 'Chernobyl disaster', 'Tremor', 'Heme', 'Mucin 4', 'Recurrent miscarriage', 'Turner syndrome', 'Mediastinum', 'Uremia', 'Obstetrics', 'Placental growth factor', 'Equine exertional rhabdomyolysis', 'Optic nerve hypoplasia', 'Iodised salt', 'Autoantibody', 'Carcinoembryonic antigen', 'CD97', 'Hyperinsulinemia', 'Nuclear receptor coactivator 1']",Thyroid Conditions
17,"['189093', '1002721', '1035086', '5544827', '414280', '206979', '168509', '29275214', '5179320', '725041', '725082', '63764', '4644698', '1606040', '1002473', '196991', '1062956', '12128133', '34479410', '140432', '198188', '42193218', '16637675', '616967', '210596', '4429176', '17413632', '2593330', '2970847', '6943198', '63547', '63791', '9718954', '1257053', '1221516', '261613', '16740653', '26951', '1231464', '36282893', '8133602', '324424', '47233416', '2589713', '4606483', '9107326', '214294', '76347', '3355249', '2183811', '142549', '864489', '986465']",,"['Human digestive system', 'Gastrointestinal disease', 'Gastroesophageal reflux disease', 'Nutcracker esophagus', 'Gastroscan', 'Esophageal dysphagia', 'Laryngopharyngeal reflux', 'Gastritis', 'Gastroparesis', 'Constipation', 'Human feces', 'Short bowel syndrome', 'Hiatus hernia', 'Achlorhydria', 'Hepatology', 'Diverticulosis', 'Megacolon', 'Achalasia', 'Peptic ulcer disease', 'Superior mesenteric artery syndrome', 'Pancreatitis', 'Small intestinal bacterial overgrowth', 'Diverticulitis', 'World Trade Center Health Program', 'Irritable bowel syndrome', 'Stomach cancer', 'Microscopic colitis', 'Dysentery', 'Bad breath', 'Tropical sprue', 'Systemic scleroderma', 'Colorectal cancer', 'Ascending cholangitis', 'Inflammatory bowel disease', 'Ischemic colitis', 'Pruritus ani', 'Acute pancreatitis', 'Dientamoebiasis', 'Copper in health', 'Fecal impaction', 'Biliary colic', 'Carbonated soda treatment of phytobezoars', 'Femoral hernia', 'Primary sclerosing cholangitis', 'Peritonitis', 'Hernia', 'Chernobyl disaster', 'Necrotizing enterocolitis', 'Bowel obstruction', 'Lower gastrointestinal bleeding', 'Spontaneous bacterial peritonitis', 'Gallbladder disease', 'Hepatitis D']",GERD and Digestive Disorders
18,"['2236023', '199051', '57688', '12328438', '1916', '4531', '149223', '51606', '5329800', '1432945', '9192883', '972242', '159209', '412395', '251047', '536032', '35350504', '10638474', '56825', '186345', '772008', '13457', '4816754', '1721229', '54743', '8406655', '3464219', '25137267', '22081794', '52316', '3184501', '19572333', '670449', '562180', '641177', '242901', '8518910', '26477290', '2578429', '23707608', '37556', '64976', '898648', '22276398', '26534505']",,"['Neurodevelopmental disorder', 'Neurological disorder', 'Medical genetics', 'Medical genetics of Jews', 'Trinucleotide repeat disorder', 'Conditions comorbid to autism spectrum disorders', 'Developmental disorder', 'Compound heterozygosity', 'Preimplantation genetic diagnosis', 'Online Mendelian Inheritance in Man', 'Disorders of sex development', 'Impulse control disorder', 'Mood disorder', 'Ex situ conservation', 'Autosome', 'Mental disorders diagnosed in childhood', 'Conduct disorder', 'Eating disorder', 'Schizoaffective disorder', 'Primary ciliary dyskinesia', 'Bipolar disorder', 'Anxiety disorder', 'Antisocial personality disorder', 'Causes of mental disorders', 'Agenesis of the corpus callosum', 'Delusional disorder', 'Borderline personality disorder', 'Yury Verlinsky', 'Auditory processing disorder', 'Heredity', 'Cognitive disorder', 'Human genetic variation', 'Eye disease', 'Spectrum disorder', 'Inbreeding', 'Dimensional models of personality disorders', 'Substance use disorder', 'Circadian rhythm sleep disorder', 'Introduction to genetics', 'Consanguinity', 'Childhood disintegrative disorder', 'Asperger syndrome', 'Panic disorder', 'Kynurenine pathway', 'Attention deficit hyperactivity disorder']",Genetic Disorders
19,"['2767', '644492', '667634', '2561583', '20421434', '180150', '1219713', '3219051', '51417651', '17343462', '1010090', '23371046', '868953', '5876', '841093', '36808', '249930', '34754519', '237419', '234803', '35958818', '2504494', '77432', '2799360', '3186459', '1797918', '508735', '47383217', '716779', '33902651', '707615', '235642', '509921', '368300', '674529', '1020336', '2532889', '2311577', '869004', '1192805', '3391613', '4367754', '1626259', '500475', '869496', '646092', '16989990', '5448004', '277088', '7904695']",,"['Hypertension', 'Pulmonary hypertension', 'Essential hypertension', 'Portal hypertension', 'Hypertensive heart disease', 'Management of hypertension', 'White coat hypertension', 'Complications of hypertension', 'History of hypertension', 'Hypertensive emergency', 'Orthostatic hypertension', 'Baker Heart and Diabetes Institute', 'Heart failure', 'Heart murmur', 'Heart failure with preserved ejection fraction', 'Pulmonary heart disease', 'Valvular heart disease', 'Heart', 'Ventricular septal defect', 'Atrial septal defect', 'Congenital heart defect', 'University of Ottawa Heart Institute', 'Heart valve', 'Hydralazine', 'Hypoplastic left heart syndrome', 'Atrioventricular septal defect', 'Beta blocker', 'Portal vein', 'Intracranial pressure', 'Cardiomegaly', 'ACE inhibitor', 'Pulmonary artery', 'Coronary artery disease', 'Ventricular hypertrophy', 'Cardiac catheterization', 'Nifedipine', 'Coarctation of the aorta', 'Chloe Temtchine', 'Amlodipine', 'Clevidipine', 'Mitral valve stenosis', 'Hypertensive kidney disease', 'Nebivolol', 'Mitral insufficiency', 'Epoxyeicosatrienoic acid', 'Hypotension', 'Pheochromocytoma', 'Moexipril', 'Bisoprolol', 'Tricuspid insufficiency']",Heart and Hypertension
20,"['16176078', '6811', '53951', '8072', '5015982', '1342299', '4637216', '4106560', '525960', '772008', '869123', '1062956', '37220', '2201837', '11500198', '951614', '9949565', '39597367', '1449983', '6090525', '4446738', '52135', '189092', '52640771']",,"['Infection', 'National Intelligence Assessments on Infectious Diseases', 'Emerging infectious disease', 'Infectious bursal disease', 'Mathematical modelling of infectious disease', 'Disease surveillance', 'Centers for Disease Control and Prevention', 'Disease', 'Neglected tropical diseases', 'Diseases of affluence', 'Infectious hematopoietic necrosis virus', 'Gastroenteritis', 'Rare disease', 'Gastrointestinal disease', 'Enteritis', 'Pneumonia', 'Occupational lung disease', 'Diarrhea', 'Natural reservoir', 'Medical microbiology', 'Diseases of poverty', 'Cat health', 'Eye disease', 'Sociality and Disease Transmission']",Infectious Diseases
