,terms,titles,pageids
22,fun and trivia,"['FunTrivia', 'MovieCat!', 'Pub quiz', 'Game Wave Family Entertainment System', 'Shout About Movies', 'World Carrot Museum', 'Shinji Nakae', 'Game Party', 'IBilib', 'Nubian Jak', 'Movies in Fifteen Minutes', 'HAKMEM', 'Wet Head', 'Online quiz', 'Shout About TV', 'When the Pawn...', 'Math Rabbit', 'A Nice Place to Visit', 'Quiz bowl', 'NBA Hangtime', 'Atari Greatest Hits', 'Test the Nation', 'Modern Inventions', 'TriBond', 'Quantum Link', 'Film promotion', 'Our Gods Wear Spandex', 'UWink']","['146160', '37861841', '20460', '23804898', '12851354', '8303471', '505526', '34476912', '51641163', '3602606', '44003870', '6971282', '6215230', '26315675', '11766333', '21615228', '166518', '255930', '48993', '12720250', '30864675', '53011705', '673062', '4984180', '7443026', '51015459', '24167710', '6371426']"
23,flash-based entertainment,"['Flash Thompson', 'Entertainment', 'Entertainment center', 'Fuel Industries', 'Flashtube', 'Super Nintendo Entertainment System', 'Pyrotechnics', 'MTV Base Player', 'Infotainment', 'Captain Cold', 'Content Protection for Recordable Media', 'PowerPC 5000', 'Ocean Productions']","['1572240', '1238264', '9262', '2144707', '663186', '387514', '9058896', '333003', '10685098', '2945399', '10930429', '187584', '28314']"
24,fun test and silly survey,"['The Abyss', 'Backmasking', 'Baby talk', 'The Phantom Tollbooth', 'Movie 43', 'We Are the World', 'Lost Girl']","['863241', '18589482', '28613119', '29097142', '45568', '178842', '685793']"
25,humor,"['Theories of humor', 'Humor research', 'Humor on the internet', 'Gallows humor', 'Office humor', 'Misattribution theory of humor', 'College humor magazines', 'Cognitive humor processing', 'Humor styles', 'Humor about Catholicism', 'Sophomoric humor', 'Ethnic joke', 'Deadpan', 'Computational humor', 'Mathematical joke', 'Cringe comedy', 'Pun', 'Humour in Islam', 'Vitreous body', 'Ciliary body', 'Slapstick', 'Adult animation', 'Running gag', 'Sexual slang', 'Laughter', 'Four temperaments', 'Brimonidine', 'Trabecular meshwork', 'Seriousness', 'Vitrectomy']","['1939093', '4857534', '1042434', '41122131', '867889', '14760591', '5459290', '573889', '277978', '149717', '703765', '9357007', '53406742', '17893852', '34764275', '12099058', '234801', '2287691', '27066693', '17886894', '24145', '252984', '15826297', '12762115', '38898', '542746', '17909855', '1598208', '328853', '328850']"
26,live comedy,"['Comedy Nights Bachao', 'Canadian Comedy Awards', 'Live in Belfast', 'Comedy Nights Live', 'The Comedy Awards', 'Comedy', 'Comedy Is Not Pretty!', 'Comedy-drama', 'British Comedy Awards', 'Television comedy', 'Comedy Central Family (Netherlands)', 'The Comedy Festival', 'Sketch comedy', 'Alternative comedy', 'National Comedy Theatre', 'Stand-up comedy', 'Deutscher Comedypreis', 'Comedy Central', 'The Comedians of Comedy', 'Comedy Bar (Philippine TV series)', 'Sex comedy', 'Edinburgh Comedy Awards', 'The Comedy Channel', 'YouTube Comedy Week', 'Comedy rock', 'Screwball comedy film', 'Romantic comedy film', 'Paramount Comedy', 'The Colgate Comedy Hour', 'Comedy Central (New Zealand)']","['363869', '625413', '5566130', '20914042', '317308', '26998086', '235879', '21580455', '23046400', '3237210', '47595922', '49201250', '1856564', '33534365', '6373118', '22417841', '11146983', '3786193', '25531', '27037', '6858494', '51610', '103067', '527822', '5975329', '3340893', '31318195', '1423597', '4996716', '39911950']"
27,political humor,"['Political satire', 'Theories of humor', 'Political journalism', 'Office humor', 'Gallows humor', 'Political philosophy', 'Harvard Political Review', 'Cringe comedy', 'Humour in Islam', 'Pun', 'Class Clown', 'Political podcast', 'Adult animation', 'Legend of the White Horse', 'MilkandCookies', 'Oui Be Negroes', 'Satire', 'Jihad satire', 'ColorLines', 'Candorville', 'Soapbox', 'Seriousness', 'You have two cows', 'Comedy', 'Todayhumor', 'Throwing Shade']","['1939093', '4494677', '3212114', '4875992', '20914042', '5459290', '703765', '3164786', '12099058', '28862882', '2899730', '3103005', '17886894', '16598168', '15525934', '23040', '51739333', '1678827', '24145', '26791', '15826297', '1545862', '17909855', '38244916', '38778203', '15129']"
28,spoof and satire,"['Satire', 'The Oxymoron', 'Comedy horror', 'Newzoids', 'Citizens of Earth', 'Not Another B Movie', 'The Yes Men', 'Kev King', 'Raw Toonage', 'The Great Fetish', 'ScienTOMogy', 'Uncyclopedia']","['47127148', '5866625', '32028665', '46365849', '33802289', '358674', '26791', '3307658', '7507529', '19611492', '1118654', '13631667']"
29,movie,"['Film', 'Movie camera', 'Movie theater', 'Movie ranch', 'Windows Movie Maker', 'Movie projector', 'Movie star', 'Monster movie', 'Road movie', 'ABC Movie of the Week', 'The MySpace Movie', 'Africa Movie Academy Awards', 'Ultraman X The Movie', 'Adult movie theater', 'The Beatles Movie Medley', 'Movie Surfers', 'Television film']","['5263148', '8763731', '24604354', '21555729', '6306096', '5849167', '199539', '731779', '4299450', '235225', '77819', '1055274', '164342', '2290589', '4063909', '48850638', '1395774']"
30,action and adventure film,"['Adventure film', 'Action fiction', 'Digimon Adventure', 'Sports film', 'Thriller film', '38th Saturn Awards']","['34943408', '232680', '871086', '1096887', '464897', '28148882']"
31,martial art film,"['Martial arts film', 'Mixed martial arts', 'Martial arts timeline', 'Touch of Death', 'Fine art', 'Hee Il Cho', 'Wudang quan', 'Combat reenactment', 'History of film', 'Serhat Arvas', 'Tiger from Tjampa']","['2290495', '90317', '15625178', '10783', '19028', '13208623', '228344', '6125279', '28795611', '13320978', '30861578']"
32,superhero film,"['Superhero film', 'Superhero Movie', 'List of American superhero films', 'Superhero comics', 'Confessions of a Superhero', 'Superhero fiction', 'Superhero', 'Death of a Superhero', 'List of superhero debuts', 'Superhero (disambiguation)', 'Empire Award for Best Sci-Fi/Fantasy', 'Science fiction films in India', 'Baji (film)', 'Super (2010 American film)', 'Krrish', 'Hancock (film)', 'Real-life superhero', 'Iron Man (2008 film)', 'Watchmen (film)', 'Unbreakable (film)', 'The Invisible Boy (2014 film)', 'The Specials (film)', 'Spider-Man (1977 film)', 'Max Steel (film)', 'Deadpool (film)', 'Hellboy (film)', 'Logan (film)', 'Catwoman (film)', 'Kick-Ass 2 (film)', 'Vs (film)']","['44477588', '789903', '16902911', '43867095', '34532192', '33485968', '20926377', '5292920', '5676692', '37086759', '2018546', '18623825', '2311067', '43655965', '41883981', '4207877', '14088790', '12466125', '27063955', '43076', '13694508', '13364985', '25465046', '13482953', '1275470', '45328646', '2310527', '32252', '33499922', '5016250']"
33,western film,"['Western (genre)', 'Western', 'Lists of Western films', 'The Decline of Western Civilization', 'Spaghetti Western', 'The Playboy of the Western World (film)', 'Western Religion (film)', 'Western Film Exchange', 'The Western Front (film)', 'Sukiyaki Western Django', 'Romance of the Western Chamber (film)', 'List of Spaghetti Western films', 'Revisionist Western', 'Acid Western', 'Western Union (film)', 'All Quiet on the Western Front (1979 film)', 'Western (1997 film)', 'Space Western', 'Ostern', 'List of Western films before 1920', ""No Man's Land (2013 film)"", 'Western Front', 'Western comics', 'Film genre', 'The Light of Western Stars (1918 film)', 'Florida Western', 'Left for Dead (2007 Western film)', 'Under Western Stars', 'New Frontier (film)', 'Liberty (serial)']","['11570611', '9718646', '12221', '7173708', '37030188', '15502188', '10229417', '12383663', '632099', '12381574', '41247036', '1463308', '1160318', '24840391', '3766056', '29177', '9013587', '461657', '43735026', '35896873', '50069711', '23690950', '33785', '14937340', '65758', '1566019', '1198252', '45377457', '5589674', '27593127']"
34,animated film,"['Animator', 'Animated cartoon', 'Academy Award for Best Animated Feature', 'National Film Award for Best Animated Film', 'KROK International Animated Films Festival', 'Animated documentary', 'Marvel Animated Features', 'Animated series', 'Flash animation', 'Ottawa International Animation Festival']","['61830', '36702', '18359721', '235604', '161935', '1649198', '9746727', '33700618', '4748456', '3706091']"
35,bollywood and south asian film,"['Film industry', 'Singham', 'Pooja Kumar', 'Chennai Express', 'Item number', 'Asian Century', 'Lage Raho Munna Bhai', 'Nagma', 'Vekeana Dhillon']","['2514785', '34320167', '649481', '1881556', '5747495', '8660545', '10515157', '31307575', '31560743']"
36,classic film,"['Film format', 'Mystery film', 'Film genre', 'Film criticism', 'Teen film', 'Classic Boat Museum', 'Green Mountain Film Festival', 'Cult film', 'ChaalBaaz', 'Film laboratory', 'Sleeper hit']","['4125255', '24289398', '5645', '11065202', '11433', '12221', '4286221', '6858344', '540763', '794112', '451845']"
37,silent film,"['Globe International Silent Film Festival', 'Silent Hill', 'Sound film', 'Niles Essanay Silent Film Museum', 'Silent disco']","['53233175', '29332749', '390676', '6553009', '70318']"
38,comedy film,"['Comedy film', 'Sex comedy', 'Comedy horror', 'The Comedy Awards', 'Zombie comedy', 'Black comedy', 'The Comedy Festival', 'Bromantic comedy', 'Slapstick', 'Musical film', 'Film genre', 'Sketch comedy', 'The Comedy Channel', 'Radio comedy', 'Physical comedy', 'Tragicomedy']","['118365', '44265489', '5644', '5866625', '12221', '19029', '410978', '414633', '6858494', '51610', '38898', '31318195', '1423597', '4996716', '104952', '6895911']"
39,cult and indie film,"['Ondu Muttina Kathe', 'Jugnu', 'Fantasy film', 'Body Double', 'Ritwick Chakraborty']","['1438595', '11741', '4884663', '24342730', '37603164']"
40,DVD and video shopping,"['Video rental shop', 'Home video', 'Werribee DVD incident', 'Video art', 'Video game console', 'Looney Tunes Golden Collection', 'Adult video arcade', 'Video game packaging', 'Advanced Content', 'Machine Shop co.', 'Video film era', 'OpenShot', 'Pet Shop Boys discography', 'Video game industry', 'Walk of My Life', 'How the Earth Was Made', 'Brick and mortar', 'Optical disc packaging', 'TiVo digital video recorders', 'Shoplifting', 'Cop Shop', 'Photo Story', 'Interactive kiosk', 'Fifth generation of video game consoles', 'Red Hot Chili Peppers videography', 'Vileness Fats']","['4804183', '13956734', '4036644', '2332484', '485939', '18948312', '24186335', '1188604', '1073628', '44748105', '23049091', '632395', '3410119', '1789911', '6335145', '232169', '4931212', '32622', '47612088', '32629', '372478', '1890023', '186440', '4215177', '45682339', '8613404']"
41,DVD and video rental,"['Video Privacy Protection Act', 'Home video', 'Netflix', 'Interactive kiosk', 'Video on demand', 'Flexplay', 'Be Kind Rewind', 'Entertainment Merchants Association', 'Guero', 'Video game industry', 'Hokuto Corporation', 'Streaming media', 'Combo television unit', 'Videotape format war', 'NuTech Digital', 'Nightmare Sisters', 'Black Devil Doll From Hell', 'Format war', 'Player One Amusement Group', 'CleanFlicks', 'Redbox Movie Awards', 'FlickRocket']","['5191706', '51338776', '2871844', '1792688', '6313394', '1364874', '21364908', '548425', '1415075', '20607831', '18948312', '1188604', '175537', '14529359', '5900672', '507660', '40118888', '28682', '1562061', '372478', '147143', '799952']"
42,documentary film,"['Documentary film', 'Animated documentary', 'Documentary film techniques', 'Nature documentary', 'Academy Award for Best Documentary Feature', 'Travel documentary', 'Sundance Institute', 'Atlanta International Documentary Film Festival', 'Jihlava International Documentary Film Festival', 'Full Frame Documentary Film Festival', 'Docufiction', 'Documentary mode']","['62390', '18359721', '38597930', '16184732', '8088', '13414975', '24678725', '4738631', '42045625', '4026595', '23943388', '13211867']"
43,drama film,"['Legal drama', 'Drama', 'Musical film', 'Radio drama', 'Medical drama', 'Thriller film']","['20913753', '62000', '5383034', '19029', '54954', '28148882']"
44,family film,"['Ganguly family', 'National Film Award for Best Film on Family Welfare', 'The New Addams Family', 'Outline of film', 'Tribeca Film Festival', 'Bachchan family', 'Family saga', 'Family Outing']","['3071982', '22320059', '170385', '6828596', '4745371', '6599447', '19505518', '2168341']"
45,horror film,"['Horror film', 'Comedy horror', 'Psychological horror', 'Blaxploitation horror films', 'Lovecraftian horror', 'Horror fiction', 'Horror host', 'Hood of Horror', 'Horror and terror', 'LGBT themes in horror fiction', 'Holiday horror', 'Splatter film', 'Horror comics', 'Horror icon', 'Bloody Horror International Film Festival', 'Slasher film', 'Universal Monsters', 'Misogyny in horror films', 'Treehouse of Horror', 'After Dark Horrorfest', 'Film genre']","['7326191', '30884765', '54400814', '5866625', '12221', '46228874', '5317549', '432622', '24479710', '14109', '13451', '4177501', '43943247', '4596481', '2483264', '45241533', '356304', '160750', '604029', '5398365', '5073563']"
46,movie memorabilia,"['Film memorabilia', 'Souvenir', 'Corgi International', 'Dragon Lady Comics', 'Theatrical property', 'Star Wars Pez', 'Planes of Fame Air Museum', 'Titanic Historical Society', 'The Banger Sisters', 'RAF Old Buckenham', 'Nobel Chor', 'Top Gun']","['8880028', '34599708', '5711479', '29552360', '1440680', '7079726', '937531', '18242403', '396470', '639072', '1703143', '179825']"
47,movie reference,"['Movie camera', 'Movie ranch', 'Monster movie', 'The Movie Channel', 'Road movie', 'Disaster Movie', 'The MySpace Movie', 'Internet Movie Firearms Database', 'Movie Outline', 'Interactive movie', 'MOVIE Index', 'Doctor Who in popular culture', 'Burma Bazaar', 'Feature film', 'Movie 4', 'Home movies', 'Hamlet in popular culture']","['21617322', '17726219', '54512406', '232963', '7922610', '8136685', '1441691', '36529601', '49189913', '6306096', '22723305', '17606964', '199539', '4299450', '1055274', '655262', '4063909']"
48,movie review and preview,"['Live preview', 'Film screening', 'Test screening', 'Veera Madakari', 'Kanthari', 'Chennai Ungalai Anbudan Varaverkirathu', 'U The End A']","['48306849', '8460291', '47957569', '7937506', '456741', '49621256', '39632589']"
